Predicted_PTU	count	main_mobility	Host_range
PTU-FE	897	pCONJ	III
PTU-E1	353	pMOB	III
PTU-I1	340	pCONJ	III
PTU-E5	250	pNT	I
PTU-E9	188	pOriT	V+VI
PTU-E10	187	pMOB	III
PTU-Y	180	PP	III
PTU-E7	156	pMOB	III
PTU-X3	132	pCONJ	III
PTU-I2	131	pCONJ	III
PTU-B/O/K/Z	126	pCONJ	III
PTU-HI2	119	pCONJ	IV
PTU-E47	105	pNT	III
PTU-X4	101	pCONJ	III
PTU-E16	89	PP	I
PTU-E22	59	pMOB	I
PTU-N1	58	pCONJ	IV
PTU-C	57	pCONJ	V+VI
PTU-E69	52	pMOB	I
PTU-E14	49	pMOB	III
PTU-E58	45	pOriT	III
PTU-E3	44	pMOB	V+VI
PTU-E25	44	PP	III
PTU-E41	42	pdCONJ	I
PTU-L/M	41	pCONJ	IV
PTU-E20	39	pMOB	III
PTU-E49	38	pMOB	I
PTU-X1	37	pCONJ	III
PTU-HI1A	34	pCONJ	IV
PTU-E11	34	pOriT	III
PTU-E50	31	pCONJ	IV
PTU-E63	29	pOriT	I
PTU-E28	29	pCONJ	III
PTU-E68	24	pCONJ	III
PTU-E76	24	pOriT	III
PTU-E52	23	pOriT	III
PTU-E38	19	pOriT	I
PTU-N3	19	pCONJ	III
PTU-Q1	15	pMOB	V+VI
PTU-N2/3	15	pCONJ	III
PTU-E48	14	pMOB	I
PTU-E77	13	pCONJ	I
PTU-E29	12	pNT	I
PTU-E71	11	pNT	III
PTU-E80	11	pCONJ	IV
PTU-FK	11	pCONJ	III
PTU-E19	10	pMOB	III
PTU-E56	9	pNT	III
PTU-E45	6	pNT	I
PTU-E78	6	pCONJ	I
PTU-FSh	5	pMOB	III
PTU-HI1B	5	pCONJ	III
PTU-E32	5	pCONJ	I
PTU-E4	5	pMOB	III
PTU-E79	5	pCONJ	I
PTU-E21	4	pNT	I
PTU-E73	3	pCONJ	IV
PTU-E51	3	pNT	I
PTU-E12	2	pNT	IV
PTU-Bac45	2	pMOB	V+VI
PTU-E75	2	pMOB	III
PTU-E72	2	pCONJ	I
PTU-E8	2	pdCONJ	IV
PTU-FV	1	pCONJ	III
PTU-Bac21	1	pMOB	II
PTU-E40	1	pCONJ	III
PTU-W	1	pCONJ	IV
PTU-E54	1	pNT	I
PTU-E65	1	pNT	III
PTU-E53	1	pNT	V+VI
PTU-E39	1	pCONJ	II
